,cost,min_energy_shortfall,energy_changes
0,9.94E+13,11454752682,2.29E+11
1,1.04E+14,8020206470,2.37E+11
2,9.76E+13,11572550144,2.42E+11
3,1.02E+14,8024246257,2.48E+11
4,1.03E+14,8325460844,2.38E+11
5,9.79E+13,11425779268,2.40E+11
6,1.01E+14,8296617370,2.52E+11
7,9.77E+13,11513140165,2.39E+11
8,1.02E+14,8361805508,2.45E+11
9,9.81E+13,11520996263,2.38E+11
10,9.69E+13,12071046673,2.47E+11
11,9.72E+13,11830704205,2.43E+11
12,9.88E+13,11463031057,2.35E+11
13,9.80E+13,11000051672,2.45E+11
14,9.82E+13,11174279750,2.40E+11
15,9.75E+13,11521371774,2.44E+11
16,9.96E+13,9939833614,2.44E+11
17,9.84E+13,10797850103,2.44E+11
18,1.01E+14,8361266643,2.50E+11
19,9.78E+13,11125587346,2.44E+11
20,1.02E+14,8287656483,2.48E+11
21,1.02E+14,8246009198,2.47E+11
22,9.89E+13,11452111688,2.35E+11
23,9.98E+13,10469605188,2.33E+11
24,1.07E+14,7420496454,2.33E+11
25,9.85E+13,11535339204,2.35E+11
26,1.02E+14,8273414866,2.48E+11
27,1.01E+14,8170095761,2.50E+11
28,1.01E+14,8537437127,2.51E+11
29,1.05E+14,7622974779,2.36E+11
30,1.05E+14,7503329908,2.36E+11
31,1.01E+14,8544637561,2.49E+11
32,1.04E+14,7858931322,2.36E+11
33,1.03E+14,8223613868,2.38E+11
34,1.00E+14,9389077839,2.46E+11
35,9.76E+13,11533397192,2.42E+11
36,9.94E+13,11199365105,2.32E+11
37,9.95E+13,10619657121,2.34E+11
38,1.04E+14,7791410120,2.37E+11
39,1.04E+14,7602782901,2.38E+11
40,9.79E+13,11069027335,2.46E+11
41,1.01E+14,8345943466,2.49E+11
42,9.97E+13,11256879265,2.29E+11
43,1.07E+14,7436330092,2.28E+11
44,1.01E+14,8761433463,2.48E+11
45,1.04E+14,8351792922,2.33E+11
46,9.78E+13,11492774587,2.40E+11
47,1.01E+14,9094345634,2.41E+11
48,9.95E+13,11418418694,2.29E+11
49,1.00E+14,9436801285,2.45E+11
50,9.93E+13,11402690034,2.30E+11
51,9.78E+13,11481694724,2.40E+11
52,1.04E+14,9612767973,2.25E+11
53,9.88E+13,10478751857,2.44E+11
54,9.72E+13,11805648072,2.43E+11
55,9.80E+13,11064509173,2.44E+11
56,9.93E+13,11437149981,2.30E+11
57,1.01E+14,8430860683,2.49E+11
58,9.78E+13,11560559861,2.39E+11
59,1.03E+14,9124209244,2.28E+11
60,9.85E+13,11583911273,2.32E+11
61,1.01E+14,11229439098,2.26E+11
62,9.80E+13,11210881969,2.41E+11
63,1.02E+14,8173327097,2.49E+11
64,1.01E+14,8393164979,2.47E+11
65,1.02E+14,8177009226,2.48E+11
66,9.83E+13,10801049087,2.46E+11
67,9.85E+13,11592704220,2.32E+11
68,9.83E+13,11146241103,2.40E+11
69,9.82E+13,10766954559,2.46E+11
70,1.01E+14,8454677710,2.51E+11
71,1.02E+14,9886957736,2.27E+11
72,1.00E+14,8719647285,2.53E+11
73,1.02E+14,8298886497,2.46E+11
74,1.01E+14,9445375685,2.39E+11
75,1.00E+14,8717288882,2.50E+11
76,1.03E+14,7794574364,2.40E+11
77,1.07E+14,7671214668,2.27E+11
78,1.04E+14,8544470761,2.29E+11
79,1.03E+14,9340384109,2.27E+11
80,9.69E+13,11962610108,2.47E+11
81,1.04E+14,8864803413,2.28E+11
82,1.05E+14,7586565582,2.37E+11
83,9.76E+13,11537875686,2.43E+11
84,9.88E+13,11290286237,2.35E+11
85,1.00E+14,9836197067,2.39E+11
86,1.01E+14,9612498994,2.40E+11
87,9.78E+13,11144317585,2.46E+11
88,9.73E+13,11651742893,2.49E+11
89,1.02E+14,8008669529,2.48E+11
90,1.06E+14,7774655971,2.28E+11
91,9.97E+13,11226478445,2.30E+11
92,9.71E+13,11899088232,2.44E+11
93,1.03E+14,8299092293,2.40E+11
94,1.04E+14,7843476234,2.35E+11
95,1.03E+14,7938151932,2.45E+11
96,1.03E+14,9885851533,2.25E+11
97,1.00E+14,9448255685,2.45E+11
98,1.00E+14,8780198488,2.55E+11
99,1.03E+14,8851300708,2.34E+11
100,1.01E+14,8582030649,2.49E+11
101,9.89E+13,11288377800,2.34E+11
102,1.04E+14,8250729378,2.30E+11
103,1.00E+14,9802335756,2.39E+11
104,9.93E+13,11383613478,2.30E+11
105,1.03E+14,9312658817,2.27E+11
106,1.02E+14,8300521567,2.40E+11
107,1.01E+14,8359556755,2.51E+11
108,9.80E+13,11365965863,2.40E+11
109,9.81E+13,10783043390,2.46E+11
110,9.95E+13,10088207374,2.43E+11
111,1.05E+14,8441429183,2.29E+11
112,1.01E+14,8529804504,2.49E+11
113,1.05E+14,8189484385,2.29E+11
114,9.84E+13,10826215239,2.44E+11
115,1.01E+14,9565305576,2.39E+11
116,1.00E+14,9425777408,2.45E+11
117,1.03E+14,8269007472,2.41E+11
118,1.04E+14,8646010565,2.28E+11
119,1.01E+14,9324821198,2.39E+11
120,1.06E+14,7473922243,2.31E+11
121,1.02E+14,9073040207,2.37E+11
122,1.01E+14,9570640014,2.40E+11
123,1.05E+14,9019592434,2.27E+11
124,1.05E+14,7975256685,2.32E+11
125,9.76E+13,11604999244,2.39E+11
126,1.02E+14,8437359883,2.41E+11
127,9.76E+13,11241287640,2.43E+11
128,1.02E+14,8118085222,2.44E+11
129,1.02E+14,8182465578,2.49E+11
130,9.93E+13,10077098928,2.43E+11
131,9.72E+13,12085452461,2.43E+11
132,9.98E+13,11207321955,2.28E+11
133,1.03E+14,8551455604,2.34E+11
134,1.00E+14,9177455905,2.45E+11
135,1.01E+14,9341784340,2.38E+11
136,1.03E+14,9062719462,2.28E+11
137,1.03E+14,8624327928,2.37E+11
138,1.01E+14,8434262161,2.51E+11
139,9.79E+13,11112559447,2.43E+11
140,1.02E+14,8304656727,2.45E+11
141,9.84E+13,11086323590,2.40E+11
142,9.82E+13,11227870426,2.40E+11
143,1.02E+14,8180471529,2.47E+11
144,1.01E+14,9032437309,2.40E+11
145,1.02E+14,8451146228,2.44E+11
146,9.78E+13,11425868808,2.40E+11
147,1.02E+14,9077738795,2.37E+11
148,9.81E+13,10847515662,2.46E+11
149,1.01E+14,8396605576,2.47E+11
150,9.95E+13,11434895283,2.29E+11
151,9.99E+13,10355586503,2.34E+11
152,9.72E+13,11755972169,2.49E+11
153,1.00E+14,11025030113,2.28E+11
154,1.01E+14,8417251111,2.54E+11
155,1.02E+14,8926202373,2.40E+11
156,1.05E+14,8795178842,2.27E+11
157,1.03E+14,8223747499,2.38E+11
158,1.01E+14,9395444878,2.40E+11
159,1.03E+14,9664664282,2.27E+11
160,1.03E+14,9348157686,2.26E+11
161,9.73E+13,11719212599,2.45E+11
162,9.81E+13,11255697443,2.40E+11
163,9.83E+13,11726861090,2.36E+11
164,9.94E+13,11445137701,2.30E+11
165,1.01E+14,8755383856,2.42E+11
166,1.04E+14,8650722559,2.28E+11
167,9.83E+13,11227367365,2.40E+11
168,1.01E+14,8179043073,2.50E+11
169,9.87E+13,9896517987,2.45E+11
170,1.03E+14,8148757436,2.40E+11
171,9.95E+13,11182053258,2.32E+11
172,1.01E+14,10170498246,2.30E+11
173,9.78E+13,11316628310,2.43E+11
174,1.03E+14,9154758150,2.29E+11
175,1.03E+14,9488074711,2.28E+11
176,1.02E+14,8152854459,2.45E+11
177,9.72E+13,11796964750,2.45E+11
178,1.03E+14,7760358282,2.38E+11
179,1.03E+14,8174103208,2.37E+11
180,9.99E+13,10103022799,2.38E+11
181,1.00E+14,9464901494,2.45E+11
182,1.02E+14,8109482020,2.45E+11
183,1.02E+14,8610566261,2.38E+11
184,1.01E+14,9080949695,2.43E+11
185,9.78E+13,11700453697,2.38E+11
186,1.05E+14,8554028864,2.26E+11
187,1.06E+14,8081063066,2.27E+11
188,9.88E+13,10477312515,2.44E+11
189,9.96E+13,11380956460,2.29E+11
190,9.91E+13,9556899322,2.45E+11
191,1.00E+14,9504813175,2.45E+11
192,1.05E+14,7672380782,2.34E+11
193,1.00E+14,10249515177,2.35E+11
194,9.82E+13,10688451502,2.52E+11
195,9.75E+13,11257811481,2.44E+11
196,1.03E+14,7919366687,2.38E+11
197,1.03E+14,9295436378,2.28E+11
198,1.02E+14,8430281821,2.46E+11
199,9.84E+13,11724215716,2.31E+11
200,1.01E+14,8492168930,2.50E+11
201,1.01E+14,9567796079,2.38E+11
202,1.02E+14,8014008678,2.46E+11
203,1.03E+14,9723745038,2.27E+11
204,9.81E+13,10839002484,2.46E+11
205,1.05E+14,8192546220,2.29E+11
206,1.03E+14,9518277130,2.26E+11
207,1.04E+14,8366922952,2.30E+11
208,9.75E+13,11711851620,2.39E+11
209,1.01E+14,8649149703,2.50E+11
210,1.03E+14,9228875833,2.26E+11
211,9.73E+13,11613674231,2.41E+11
212,1.00E+14,10190566864,2.35E+11
213,9.97E+13,11353578089,2.28E+11
214,9.71E+13,11859873668,2.45E+11
215,9.99E+13,10226689876,2.35E+11
216,1.00E+14,9484564087,2.44E+11
217,9.82E+13,11443825903,2.38E+11
218,1.04E+14,8324051332,2.33E+11
219,1.03E+14,9315026404,2.27E+11
220,1.01E+14,8094461965,2.51E+11
221,1.04E+14,7892263034,2.36E+11
222,1.01E+14,8515605472,2.47E+11
223,1.03E+14,8568689230,2.34E+11
224,9.76E+13,11220876141,2.43E+11
225,1.05E+14,7646207731,2.35E+11
226,1.01E+14,9071944766,2.43E+11
227,1.01E+14,8308847491,2.47E+11
228,1.06E+14,7591575048,2.35E+11
229,1.03E+14,9835389697,2.25E+11
230,9.96E+13,9963131621,2.43E+11
231,1.04E+14,8281468806,2.31E+11
232,1.01E+14,9637871814,2.39E+11
233,1.02E+14,8811654955,2.37E+11
234,1.03E+14,8698742781,2.34E+11
235,1.02E+14,8248907426,2.46E+11
236,1.03E+14,8964964325,2.28E+11
237,9.97E+13,11125400164,2.30E+11
238,1.01E+14,8611842142,2.49E+11
239,1.04E+14,8844566748,2.27E+11
240,1.00E+14,10138960395,2.31E+11
241,9.91E+13,9556660013,2.45E+11
242,9.84E+13,11686941928,2.36E+11
243,1.03E+14,8296261044,2.37E+11
244,1.00E+14,9467897526,2.45E+11
245,1.03E+14,8414424223,2.35E+11
246,1.06E+14,8480715156,2.26E+11
247,9.84E+13,10877733809,2.41E+11
248,1.05E+14,8039837824,2.32E+11
249,9.91E+13,9509519504,2.46E+11
250,1.05E+14,7544867460,2.35E+11
251,9.86E+13,9942769629,2.44E+11
252,1.04E+14,8553268096,2.32E+11
253,9.75E+13,11522473226,2.45E+11
254,1.03E+14,10648869041,2.22E+11
255,1.00E+14,8537830847,2.52E+11
256,9.96E+13,11355083723,2.29E+11
257,1.03E+14,7886625460,2.38E+11
258,1.04E+14,8371068391,2.32E+11
259,9.91E+13,11523708844,2.30E+11
260,9.81E+13,10821476671,2.46E+11
261,1.00E+14,9853373021,2.35E+11
262,1.00E+14,11216241891,2.27E+11
263,1.01E+14,8329011395,2.50E+11
264,9.98E+13,10922486166,2.29E+11
265,1.01E+14,9151923550,2.40E+11
266,1.00E+14,9030769560,2.46E+11
267,9.95E+13,11065018735,2.30E+11
268,1.01E+14,10104915766,2.32E+11
269,1.01E+14,9681535769,2.38E+11
270,1.04E+14,8455930324,2.29E+11
271,9.75E+13,11610910786,2.41E+11
272,1.06E+14,7560856998,2.32E+11
273,1.03E+14,8215575407,2.36E+11
274,1.02E+14,8226634059,2.48E+11
275,9.80E+13,11327873117,2.40E+11
276,1.00E+14,9730988636,2.39E+11
277,9.96E+13,9482512906,2.46E+11
278,1.04E+14,8668492863,2.30E+11
279,1.02E+14,8804148020,2.34E+11
280,1.02E+14,8303598448,2.42E+11
281,1.01E+14,9223589156,2.40E+11
282,1.05E+14,7626938960,2.35E+11
283,1.06E+14,7837620171,2.27E+11
284,1.00E+14,10000175644,2.36E+11
285,1.01E+14,9163275092,2.43E+11
286,1.00E+14,9468268616,2.45E+11
287,9.81E+13,11251232319,2.40E+11
288,9.96E+13,9920434979,2.44E+11
289,9.74E+13,11403778287,2.47E+11
290,1.00E+14,9406981805,2.45E+11
291,1.04E+14,8970296514,2.27E+11
292,1.02E+14,8057680179,2.42E+11
293,9.82E+13,11166357936,2.40E+11
294,1.06E+14,8117368922,2.27E+11
295,9.97E+13,10879780934,2.31E+11
296,1.05E+14,8429179336,2.26E+11
297,1.03E+14,9068170373,2.29E+11
298,1.04E+14,8180995707,2.32E+11
299,1.02E+14,9668737742,2.30E+11
300,1.01E+14,8412994841,2.49E+11
301,1.01E+14,10981023231,2.25E+11
302,1.02E+14,9934920675,2.29E+11
303,1.03E+14,9342942678,2.26E+11
304,1.04E+14,8615249164,2.29E+11
305,1.05E+14,8074118922,2.31E+11
306,1.00E+14,8617937091,2.52E+11
307,9.96E+13,9921704761,2.43E+11
308,1.01E+14,8218961061,2.49E+11
309,1.03E+14,9165303921,2.28E+11
310,1.03E+14,8299695264,2.39E+11
311,1.02E+14,9847859097,2.30E+11
312,1.03E+14,8488573991,2.34E+11
313,1.05E+14,8223996195,2.29E+11
314,9.85E+13,10605829440,2.44E+11
315,1.01E+14,8343996470,2.50E+11
316,1.02E+14,8287160599,2.44E+11
317,1.01E+14,9069092638,2.38E+11
318,9.82E+13,11224272898,2.40E+11
319,9.95E+13,10031226250,2.43E+11
320,9.95E+13,11417795777,2.29E+11
321,1.05E+14,7642238526,2.36E+11
322,9.76E+13,11460009258,2.43E+11
323,1.00E+14,10069052905,2.34E+11
324,1.00E+14,10526233382,2.31E+11
325,9.85E+13,11004832916,2.37E+11
326,1.05E+14,8153681592,2.29E+11
327,1.01E+14,8486180803,2.50E+11
328,1.02E+14,8374072885,2.42E+11
329,1.03E+14,8355096398,2.35E+11
330,1.02E+14,8485146069,2.40E+11
331,9.80E+13,11315577903,2.39E+11
332,1.04E+14,8143599210,2.34E+11
333,9.84E+13,10606276652,2.46E+11
334,1.03E+14,8783118202,2.34E+11
335,1.02E+14,8871717821,2.37E+11
336,9.82E+13,10679130878,2.52E+11
337,9.97E+13,11236934957,2.29E+11
338,9.97E+13,9622424682,2.41E+11
339,9.86E+13,10671427564,2.36E+11
340,1.06E+14,7628883327,2.32E+11
341,1.01E+14,8998417693,2.45E+11
342,1.03E+14,8019550192,2.43E+11
343,1.01E+14,8836684181,2.41E+11
344,9.85E+13,10859226464,2.35E+11
345,1.01E+14,8090835809,2.50E+11
346,1.04E+14,9316845205,2.25E+11
347,9.79E+13,11096032702,2.43E+11
348,1.01E+14,8617080363,2.49E+11
349,1.02E+14,8045445845,2.46E+11
350,1.00E+14,11233798337,2.28E+11
351,1.03E+14,8942646075,2.29E+11
352,1.00E+14,8672422981,2.51E+11
353,1.04E+14,7995123373,2.34E+11
354,9.81E+13,11009510198,2.43E+11
355,1.04E+14,8647124216,2.30E+11
356,9.72E+13,11730157157,2.41E+11
357,1.03E+14,7985651893,2.39E+11
358,9.84E+13,11178136458,2.39E+11
359,1.01E+14,8463769150,2.49E+11
360,1.01E+14,8300168664,2.51E+11
361,1.01E+14,8215278509,2.48E+11
362,1.01E+14,9710158153,2.39E+11
363,1.02E+14,8140472408,2.49E+11
364,1.02E+14,8228713710,2.45E+11
365,1.03E+14,8188286767,2.41E+11
366,1.02E+14,8049341318,2.46E+11
367,1.05E+14,8682053995,2.27E+11
368,1.02E+14,8797652138,2.41E+11
369,9.80E+13,11154930312,2.41E+11
370,1.01E+14,8877831921,2.46E+11
371,9.83E+13,11148068695,2.39E+11
372,1.04E+14,8115236153,2.32E+11
373,1.01E+14,9048150479,2.43E+11
374,1.03E+14,9382957057,2.30E+11
375,1.03E+14,8984959607,2.30E+11
376,9.82E+13,10899202587,2.45E+11
377,1.05E+14,8084824161,2.30E+11
378,1.01E+14,9069967698,2.41E+11
379,1.01E+14,9183034146,2.39E+11
380,9.78E+13,11721062225,2.38E+11
381,1.01E+14,9477684339,2.39E+11
382,1.02E+14,9085343729,2.35E+11
383,1.02E+14,8133326870,2.41E+11
384,1.01E+14,8205124390,2.50E+11
385,9.97E+13,9552736449,2.45E+11
386,1.04E+14,9558986723,2.25E+11
387,1.01E+14,9453899856,2.41E+11
388,1.02E+14,8407142866,2.45E+11
389,9.72E+13,11814286507,2.44E+11
390,9.82E+13,11287471428,2.39E+11
391,1.01E+14,8994060996,2.41E+11
392,9.77E+13,11162186112,2.51E+11
393,9.86E+13,10775281893,2.42E+11
394,9.96E+13,9656114582,2.44E+11
395,1.02E+14,8613852002,2.37E+11
396,1.04E+14,8312784843,2.30E+11
397,1.00E+14,9126898420,2.46E+11
398,1.02E+14,8253647347,2.46E+11
399,9.81E+13,10784137799,2.48E+11
400,1.03E+14,9179912874,2.28E+11
401,1.01E+14,9835656317,2.37E+11
402,1.00E+14,9094762643,2.47E+11
403,1.02E+14,8111777971,2.49E+11
404,1.03E+14,8982672567,2.30E+11
405,1.02E+14,8332376078,2.45E+11
406,9.95E+13,10596568991,2.35E+11
407,9.95E+13,10101923093,2.42E+11
408,1.01E+14,9857197115,2.30E+11
409,9.86E+13,9950538710,2.45E+11
410,9.94E+13,9411526934,2.51E+11
411,1.03E+14,10983612579,2.22E+11
412,9.90E+13,10486636687,2.36E+11
413,1.07E+14,7634567408,2.27E+11
414,1.01E+14,8623022977,2.44E+11
415,1.04E+14,8093962537,2.33E+11
416,9.96E+13,11411488591,2.28E+11
417,1.01E+14,8543566000,2.51E+11
418,1.02E+14,10422856382,2.27E+11
419,1.02E+14,9692320390,2.29E+11
420,1.00E+14,9687846999,2.39E+11
421,1.02E+14,9921535524,2.28E+11
422,9.88E+13,10514100596,2.43E+11
423,9.99E+13,10411565247,2.34E+11
424,1.04E+14,8128825878,2.35E+11
425,9.96E+13,11387494377,2.29E+11
426,1.04E+14,8866131263,2.27E+11
427,1.01E+14,9567875308,2.39E+11
428,9.88E+13,10448201826,2.43E+11
429,1.02E+14,9731860897,2.29E+11
430,9.82E+13,11627035503,2.37E+11
431,1.06E+14,7434699448,2.33E+11
432,1.01E+14,9483276986,2.39E+11
433,1.03E+14,9415273524,2.29E+11
434,9.94E+13,11288768206,2.31E+11
435,1.01E+14,9318052847,2.40E+11
436,9.83E+13,10597408148,2.47E+11
437,9.82E+13,10810579347,2.46E+11
438,1.05E+14,8589910983,2.28E+11
439,1.05E+14,7947533563,2.30E+11
440,1.03E+14,9218647066,2.30E+11
441,1.02E+14,9616765732,2.31E+11
442,1.03E+14,7740500858,2.40E+11
443,1.01E+14,8576622460,2.47E+11
444,1.03E+14,8204362168,2.40E+11
445,1.01E+14,8455988902,2.46E+11
446,1.03E+14,7763681280,2.44E+11
447,9.82E+13,10871459715,2.41E+11
448,9.96E+13,10018244937,2.40E+11
449,1.03E+14,7677713606,2.40E+11
450,9.84E+13,10671644843,2.42E+11
451,1.05E+14,7661784492,2.35E+11
452,9.89E+13,11336992328,2.35E+11
453,1.04E+14,7810138890,2.37E+11
454,1.03E+14,8350357396,2.34E+11
455,9.90E+13,10798116234,2.32E+11
456,1.00E+14,10677826862,2.27E+11
457,1.04E+14,8338478632,2.30E+11
458,1.01E+14,8464935384,2.49E+11
459,1.04E+14,8471231442,2.29E+11
460,1.03E+14,9327793322,2.27E+11
461,1.05E+14,8707872310,2.25E+11
462,9.84E+13,10626090871,2.44E+11
463,1.01E+14,8427905920,2.49E+11
464,9.96E+13,11292525385,2.28E+11
465,1.01E+14,8558013123,2.48E+11
466,1.04E+14,7898107482,2.36E+11
467,1.02E+14,9498813150,2.32E+11
468,9.82E+13,11272982821,2.38E+11
